,"1. Următoarele/ următoarea afirmații cu privire la fiziologia respirației sunt adevărate:
",,,,
,,,,,
,"2. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt adevărate:
",,,,
TRUE,"   1. traheea se bifurcă în bronhiile principale dreaptă şi stângă; căile aeriene continuă să se bifurce ajungând la diametre din ce în ce mai mici;
",,,,
TRUE,"   2. bronhiile principale prezintă la nivelul peretelui inele cartilaginoase, iar bronhiolele nu posedă astfel de structuri cartilaginoase, putând uşor să se colabeze;
",,,,
,"   3. bronhiile principale prezintă la nivelul peretelui inele cartilaginoase, iar bronhiolele posedă astfel de structuri cartilaginoase, putând uşor să se colabeze;
",,,,
,"   4. bronhiolele finale, numite şi respiratorii, se ramifică în scurte canale cu perete muscular denumite canale alveolare;
",,,,
TRUE,"   5. în inspir aerul pătrunde prin fosele nazale şi faringe până la nivelul laringelui şi de aici la nivelul traheei;
",,,,
TRUE,"   6. fiecare canal alveolar comunică direct cu un număr de alveole pulmonare, locul unde are loc schimbul de gaze respiratorii;
",,,,
,"   7. în inspir aerul pătrunde prin fosele nazale (în mod excepțional) şi faringe până la nivelul laringelui şi de aici la nivelul traheei;
",,,,
,"   8. fiecare canal alveolar comunică indirect cu un număr de alveole pulmonare, locul unde are loc schimbul de gaze respiratorii;
",,,,
TRUE,"   9. bronhiolele finale, numite şi respiratorii, se ramifică în scurte canale fără perete muscular denumite canale alveolare;
",,,,
,"   10. traheea se bifurcă în bronhiile principale dreaptă şi stângă; căile aeriene superioare continuă să se bifurce ajungând la diametre din ce în ce mai mici;
",,,,
,,,,,
,"3. Următoarele afirmații/ următoarea cu privire la anatomia funcțională a aparatului respirator sunt adevărate:
",,,,
,"   1. prezenţa mucusului şi cililor doar la nivelul bronhiilor conferă protecţie plămânilor faţă de agresiunile externe;
",,,,
,"   2. plămânii sunt acoperiţi la exterior de o membrană cunoscută sub numele de pleura parietală care este separată de pleura viscerală de un strat subţire de lichid pleural;
",,,,
TRUE,"   3. plămânii sunt acoperiţi la exterior de o membrană cunoscută sub numele de pleura viscerală care este separată de pleura parietală de un strat subţire de lichid pleural;
",,,,
,"   4. lichidul pleural poate fi comprimat sau expansionat, iar cele două foiţe pleurale rămân strâns solidarizate una de cealaltă în mod fiziologic;
",,,,
FALSE,"   5. alveolele prezintă un perete pavimentos foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
TRUE,"   6. lichidul pleural nu poate fi comprimat sau expansionat, iar cele două foiţe pleurale rămân strâns solidarizate una de cealaltă în mod fiziologic;
",,,,
,"   7. pleura viscerală tapetează peretele intern al cutiei toracice;
",,,,
TRUE,"   8. pleura parietală tapetează peretele intern al cutiei toracice;
",,,,
TRUE,"   9. alveolele prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
TRUE,"   10. prezenţa mucusului şi cililor la nivelul bronhiilor şi bronhiolelor conferă protecţie plămânilor faţă de agresiunile externe;
",,,,
,,,,,
,"4. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt adevărate:
",,,,
,"   1. sângele ajunge la nivelul capilarelor peri-alveolare de la inima dreaptă prin venele pulmonare ce se ramifică până la capilarele pulmonare;
",,,,
TRUE,"   2. capilarele se întind de-a lungul peretelui alveolar şi formează o reţea densă de vase interconectate;
",,,,
,"   3. bariera care separă sângele din capilarele pulmonare de aerul alveolar are o grosime mai mare de 1⁄2 micrometri şi este alcătuită din celule epiteliale alveolare (acoperite de surfactant), spaţiu interstiţial şi celule endoteliale capilare;
",,,,
TRUE,"   4. la presiune capilară normală nu toate capilarele sunt deschise, dar deschiderea capilarelor are loc când presiunea creşte - de exemplu, în cursul efortului;
",,,,
,"   5. în rare situații, orice mişcare a diafragmului şi a peretelui toracic atrage după sine creşterea sau scăderea volumului de aer din plămân;
",,,,
,"   6. capilarele se întind de-a lungul peretelui alveolar şi nu formează o reţea densă de vase interconectate;
",,,,
TRUE,"   7. bariera care separă sângele din capilarele pulmonare de aerul alveolar are o grosime mai mică de 1⁄2 micrometri şi este alcătuită din celule epiteliale alveolare (acoperite de surfactant), spaţiu interstiţial şi celule endoteliale capilare;
",,,,
TRUE,"   8. orice mişcare a diafragmului şi a peretelui toracic atrage după sine creşterea sau scăderea volumului de aer din plămân;
",,,,
,"   9. la presiune capilară normală toate capilarele sunt deschise, iar deschiderea suplimentară a capilarelor are loc când presiunea creşte - de exemplu, în cursul efortului;
",,,,
TRUE,"   10. sângele ajunge la nivelul capilarelor peri-alveolare de la inima dreaptă prin arterele pulmonare ce se ramifică până la capilarele pulmonare;
",,,,
,,,,,
,"5. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt adevărate:
",,,,
TRUE,"   1. fluxul sanguin prin arterele bronşice este de ~100 ori mai mic în comparaţie cu circulaţia pulmonară;
",,,,
,"   2. există şi un flux limfatic la nivel pulmonar, însă vasele limfatice nu însoţesc căile aeriene mari şi vasele de sânge;
",,,,
TRUE,"   3. există şi un flux limfatic redus la nivel pulmonar, iar vasele limfatice însoţesc căile aeriene mari şi vasele de sânge;
",,,,
FALSE,"   4. fluxul sanguin prin arterele bronşice este de ~100 ori mai mare în comparaţie cu circulaţia pulmonară;
",,,,
TRUE,"   5. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arborelui bronşic;
",,,,
,"   6. alveolele nu prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar (surfactant pulmonar);
",,,,
TRUE,"   7. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic disponibilă pentru schimb de gaze;
",,,,
,"   8. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic indisponibilă pentru schimb de gaze;
",,,,
,"   9. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arterei bronşice;
",,,,
TRUE,"   10. alveolele prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar (surfactant pulmonar);
",,,,
,,,,,
,"6. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt false:
",,,,
,"   1. lichidul pleural nu poate fi comprimat sau expansionat, iar cele două foiţe pleurale rămân strâns solidarizate una de cealaltă în mod fiziologic;
",,,,
,"   2. plămânii sunt acoperiţi la exterior de o membrană cunoscută sub numele de pleura viscerală;
",,,,
TRUE,"   3. funcția esențială a plămânului este de schimb de gaze respiratorii prin membrana hemoatoencefalică;
",,,,
TRUE,"   4. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic indisponibilă pentru schimb de gaze;
",,,,
TRUE,"   5. prezenţa mucusului şi cililor doar la nivelul bronhiilor conferă protecţie plămânilor faţă de agresiunile externe;
",,,,
TRUE,"   6. în rare situații, orice mişcare a diafragmului şi a peretelui toracic atrage după sine creşterea sau scăderea volumului de aer din plămân;
",,,,
,"   7. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic disponibilă pentru schimb de gaze;
",,,,
TRUE,"   8. în inspir aerul pătrunde prin fosele nazale (în mod excepțional) şi faringe până la nivelul laringelui şi de aici la nivelul traheei;
",,,,
,"   9. în inspir aerul pătrunde prin fosele nazale şi faringe până la nivelul laringelui şi de aici la nivelul traheei;
",,,,
,"   10. orice mişcare a diafragmului şi a peretelui toracic atrage după sine creşterea sau scăderea volumului de aer din plămân;
",,,,
,,,,,
,"7. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt false:
",,,,
TRUE,"   1. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arterei bronşice;
",,,,
TRUE,"   2. în rare situații, orice mişcare a diafragmului şi a peretelui toracic atrage după sine creşterea sau scăderea volumului de aer din plămân;
",,,,
FALSE,"   3. traheea se bifurcă în bronhiile principale dreaptă şi stângă; căile aeriene continuă să se bifurce ajungând la diametre din ce în ce mai mici;
",,,,
,"   4. bariera care separă sângele din capilarele pulmonare de aerul alveolar are o grosime mai mică de 1⁄2 micrometri şi este alcătuită din celule epiteliale alveolare (acoperite de surfactant), spaţiu interstiţial şi celule endoteliale capilare;
",,,,
TRUE,"   5. alveolele prezintă un perete pavimentos foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
,"   6. alveolele prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
TRUE,"   7. traheea se bifurcă în bronhiile principale dreaptă şi stângă; căile aeriene superioare continuă să se bifurce ajungând la diametre din ce în ce mai mici;
",,,,
TRUE,"   8. bariera care separă sângele din capilarele pulmonare de aerul alveolar are o grosime mai mare de 1⁄2 micrometri şi este alcătuită din celule epiteliale alveolare (acoperite de surfactant), spaţiu interstiţial şi celule endoteliale capilare;
",,,,
,"   9. în inspir aerul pătrunde prin fosele nazale şi faringe până la nivelul laringelui şi de aici la nivelul traheei;
",,,,
FALSE,"   10. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arborelui bronşic;
",,,,
,,,,,
,"8. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt false:
",,,,
FALSE,"   1. fluxul sanguin prin arterele bronşice este de ~100 ori mai mic în comparaţie cu circulaţia pulmonară;
",,,,
,"   2. plămânii sunt acoperiţi la exterior de o membrană cunoscută sub numele de pleura viscerală care este separată de pleura parietală de un strat subţire de lichid pleural;
",,,,
TRUE,"   3. funcţia non-esenţială a plămânului este schimbul de gaze respiratorii;
",,,,
,"   4. bronhiile principale prezintă la nivelul peretelui inele cartilaginoase, iar bronhiolele nu posedă astfel de structuri cartilaginoase, putând uşor să se colabeze;
",,,,
TRUE,"   5. sângele ajunge la nivelul capilarelor peri-alveolare de la inima dreaptă prin venele pulmonare ce se ramifică până la capilarele pulmonare;
",,,,
,"   6. sângele ajunge la nivelul capilarelor peri-alveolare de la inima dreaptă prin arterele pulmonare ce se ramifică până la capilarele pulmonare;
",,,,
TRUE,"   7. plămânii sunt acoperiţi la exterior de o membrană cunoscută sub numele de pleura parietală care este separată de pleura viscerală de un strat subţire de lichid pleural;
",,,,
TRUE,"   8. bronhiile principale prezintă la nivelul peretelui inele cartilaginoase, iar bronhiolele posedă astfel de structuri cartilaginoase, putând uşor să se colabeze;
",,,,
TRUE,"   9. fluxul sanguin prin arterele bronşice este de ~100 ori mai mare în comparaţie cu circulaţia pulmonară;
",,,,
,"   10. traheea se bifurcă în bronhiile principale dreaptă şi stângă; căile aeriene continuă să se bifurce ajungând la diametre din ce în ce mai mici;
",,,,
,,,,,
,"9. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt false:
",,,,
,"   1. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arborelui bronşic;
",,,,
,"   2. bronhiolele finale, numite şi respiratorii, se ramifică în scurte canale fără perete muscular denumite canale alveolare;
",,,,
TRUE,"   3. alveolele prezintă un perete pavimentos foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
TRUE,"   4. pleura viscerală tapetează peretele intern al cutiei toracice;
",,,,
FALSE,"   5. pleura parietală tapetează peretele intern al cutiei toracice;
",,,,
TRUE,"   6. există şi un flux limfatic la nivel pulmonar, însă vasele limfatice nu însoţesc căile aeriene mari şi vasele de sânge;
",,,,
,"   7. capilarele se întind de-a lungul peretelui alveolar şi formează o reţea densă de vase interconectate;
",,,,
TRUE,"   8. capilarele se întind de-a lungul peretelui alveolar şi nu formează o reţea densă de vase interconectate;
",,,,
,"   9. există şi un flux limfatic redus la nivel pulmonar, iar vasele limfatice însoţesc căile aeriene mari şi vasele de sânge;
",,,,
TRUE,"   10. bronhiolele finale, numite şi respiratorii, se ramifică în scurte canale cu perete muscular denumite canale alveolare;
",,,,
,,,,,
,"10. Următoarele/ următoarea afirmații cu privire la anatomia funcțională a aparatului respirator sunt false:
",,,,
TRUE,"   1. alveolele nu prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar (surfactant pulmonar);
",,,,
TRUE,"   2. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic indisponibilă pentru schimb de gaze;
",,,,
,"   3. fiecare canal alveolar comunică direct cu un număr de alveole pulmonare, locul unde are loc schimbul de gaze respiratorii;
",,,,
,"   4. alveolele prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar (surfactant pulmonar);
",,,,
,"   5. la presiune capilară normală nu toate capilarele sunt deschise, dar deschiderea capilarelor are loc când presiunea creşte - de exemplu, în cursul efortului;
",,,,
TRUE,"   6. lichidul pleural poate fi comprimat sau expansionat, iar cele două foiţe pleurale rămân strâns solidarizate una de cealaltă în mod fiziologic;
",,,,
TRUE,"   7. fiecare canal alveolar comunică indirect cu un număr de alveole pulmonare, locul unde are loc schimbul de gaze respiratorii;
",,,,
TRUE,"   8. la presiune capilară normală toate capilarele sunt deschise, iar deschiderea suplimentară a capilarelor are loc când presiunea creşte - de exemplu, în cursul efortului;
",,,,
,"   9. bariera care separă sângele din capilarele pulmonare de aerul alveolar are o grosime mai mică de 1⁄2 micrometri şi este alcătuită din celule epiteliale alveolare (acoperite de surfactant), spaţiu interstiţial şi celule endoteliale capilare;
",,,,
,"   10. lichidul pleural nu poate fi comprimat sau expansionat, iar cele două foiţe pleurale rămân strâns solidarizate una de cealaltă în mod fiziologic;
",,,,
,,,,,
,"11. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. mucoasa căilor respiratorii prezintă cili cu mişcări continue dinspre exterior spre interior cu rol de deplasare a mucusului încărcat cu particule până la nivelul faringelui, de unde poate fi expectorat sau înghiţit;
",,,,
TRUE,"   2. căile respiratorii au funcţia de conducere, la care se adaugă funcţiile de filtrare, încălzire şi umidifiere a aerului inspirat;
",,,,
,"   3. captarea particulelor mari inhalate (2.5 micrometri) se face de către firele de păr din nas
",,,,
TRUE,"   4. mucoasa căilor respiratorii prezintă cili cu mişcări continue dinspre interior spre exterior cu rol de deplasare a mucusului încărcat cu particule până la nivelul faringelui, de unde poate fi expectorat sau înghiţit;
",,,,
TRUE,"   5. particulele mici (2 – 10 micrometri) care trec de filtrul primar reprezentat de firele de păr din nas sunt reţinute în stratul de mucus care tapetează căile aeriene;
",,,,
TRUE,"   6. captarea particulelor mari inhalate (10 micrometri)se face de către firele de păr din nas
",,,,
TRUE,"   7. filtrarea aerului inspirat constă în captarea şi înlăturarea particulelor inhalate
",,,,
,"   8. filtrarea aerului expirat constă în captarea şi înlăturarea particulelor inhalate
",,,,
,"   9. particulele mici (2 – 10 nanometri) care trec de filtrul primar reprezentat de firele de păr din nas sunt reţinute în stratul de mucus care tapetează căile aeriene;
",,,,
,"   10. căile respiratorii au funcţia de conducere, la care se adaugă funcţiile de filtrare, încălzire şi umidifiere a aerului expirat;
",,,,
,,,,,
,"12. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. în general, aerul trece printr-un tub numai dacă există o diferenţă de volum între cele două capete ale tubului;
",,,,
,"   2. debitul de aer prin căile respiratorii superioare depinde de gradientul de presiune între alveole şi aerul atmosferic şi nu de rezistenţa căilor aeriene mici;
",,,,
,"   3. la trecerea sa prin căile respiratorii, aerul este încălzit şi umezit acesta fiind parțial saturat cu vapori de apă înainte de a ajunge la alveole;
",,,,
TRUE,"   4. debitul de aer prin căile respiratorii depinde de gradientul de presiune între alveole şi aerul atmosferic şi de rezistenţa căilor aeriene;
",,,,
,"   5. debitul de aer depinde de diferenţa de presiune, şi nu de modul de curgere a aerului
",,,,
TRUE,"   6. la un flux aerian redus, particulele au un traiect liniar, paralel cu peretele tubului;
",,,,
TRUE,"   7. la trecerea sa prin căile respiratorii, aerul este încălzit şi umezit acesta fiind complet saturat cu vapori de apă înainte de a ajunge la alveole;
",,,,
TRUE,"   8. aerul trece printr-un tub numai dacă există o diferenţă de presiune între cele două capete ale tubului;
",,,,
,"   9. la un flux aerian redus, particulele au un traiect turbulent, paralel cu peretele tubului;
",,,,
TRUE,"   10. debitul de aer depinde de diferenţa de presiune, dar şi de modul de curgere a aerului;
",,,,
,,,,,
,"13. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. turbulenţele produse la trecerea aerului prin conductele tubului respirator generează trei zgomote caracteristice: zgomotul laringo-traheal, murmurul vezicular și ralurile;
",,,,
,"   2. în trahee curgerea este laminară, în special în cursul efortului, când viteza curgerii aerului este mai mare;
",,,,
TRUE,"   3. la nivelul orificiului glotei se produce zgomotul laringo-traheal;
",,,,
,"   4. în sistemul de tuburi de la nivelul arborelui bronşic, cu puține ramificaţii şi modificări ale calibrului căilor aeriene, curgerea laminară are loc numai prin căile aeriene foarte mici;
",,,,
TRUE,"   5. la nivelul orificiului glotei diametrul căilor aeriene se îngustează şi apoi se lărgeşte brusc;
",,,,
TRUE,"   6. în sistemul de tuburi de la nivelul arborelui bronşic, cu multe ramificaţii şi modificări ale calibrului căilor aeriene, curgerea laminară are loc numai prin căile aeriene foarte mici;
",,,,
TRUE,"   7. turbulenţele produse la trecerea aerului prin conductele tubului respirator generează două zgomote caracteristice: zgomotul laringo-traheal şi murmurul vezicular;
",,,,
,"   8. la nivelul orificiului glotei se produce zgomotul murmurul vezicular;
",,,,
,"   9. la nivelul orificiului glotei diametrul căilor aeriene se lărgește şi apoi se îngustează brusc;
",,,,
TRUE,"   10. în trahee curgerea este turbulentă, în special în cursul efortului, când viteza curgerii aerului este mai mare;
",,,,
,,,,,
,"14. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. zgomotul laringo-treaheal se percepe posterior în dreptul sternului (în apropierea traheei) şi anterior în spaţiul interscapular;
",,,,
,"   2. durata şi intensitatea zgomotului laringo-treaheal sunt mai mari în inspir;
",,,,
TRUE,"   3. tonalitatea zgomotului laringo-treaheal este mai ridicată în inspir;
",,,,
TRUE,"   4. durata şi intensitatea zgomotului laringo-treaheal sunt mai mari în expir;
",,,,
,"   5. la nivelul bronhiolei supralobulare există o lărgire a tubului aerifer urmată de îngustare bruscă;
",,,,
,"   6. zgomotul laringo-traheal este grav, puternic şi cu caracter dulce aspirativ;
",,,,
,"   7. tonalitatea zgomotului laringo-treaheal este mai ridicată în expir;
",,,,
TRUE,"   8. zgomotul laringo-treaheal se percepe anterior în dreptul sternului (în apropierea traheei) şi posterior în spaţiul interscapular;
",,,,
TRUE,"   9. la nivelul bronhiolei supralobulare există o îngustare a tubului aerifer urmată de lărgire bruscă;
",,,,
TRUE,"   10. zgomotul laringo-traheal este grav, puternic şi cu caracter suflant;
",,,,
,,,,,
,"15. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. la nivelul bronhiolei supralobulare se produce murmurul vezicular care se percepe numai dacă atât alveolele pulmonare cât şi bronhiolele sunt permeabile;
",,,,
,"   2. murmurul vezicular îşi modifică caracterele ascultatorii în procese inflamatorii alveolare şi este accentuat (înăsprit) în procese pleurale cu acumulare de lichid în cavitatea pleurală;
",,,,
,"   3. ascultarea zgomotului laringo-traheal înafara zonelor specifice de ascultație poartă numele de raluri subcrepitante şi este caracteristic proceselor de condensare pulmonară;
",,,,
TRUE,"   4. murmurul vezicular este un zgomot slab, cu timbru dulce aspirativ;
",,,,
,"   5. murmurul vezicular este un zgomot grav, cu timbru dulce aspirativ;
",,,,
,"   6. la nivelul bronhiolei supralobulare se produce murmurul vezicular care se percepe numai dacă atât alveolele pulmonare cât şi bronhiolele nu sunt permeabile;
",,,,
,"   7. murmurul vezicular se ascultă doar în inspir pe întreaga suprafaţă toracică;
",,,,
TRUE,"   8. ascultarea zgomotului laringo-traheal înafara zonelor specifice de ascultație poartă numele de suflu tubar şi este caracteristic proceselor de condensare pulmonară;
",,,,
TRUE,"   9. murmurul vezicular se ascultă atât în inspir cât şi în expir, pe întreaga suprafaţă toracică;
",,,,
TRUE,"   10. murmurul vezicular îşi modifică caracterele ascultatorii în procese inflamatorii alveolare şi este diminuat în procese pleurale cu acumulare de lichid în cavitatea pleurală;
",,,,
,,,,,
,"16. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. presiunea aerului crește în căile aeriene peste generaţia a 7-a;
",,,,
TRUE,"   2. în mod normal rezistenţa la trecerea aerului este foarte mică, astfel încât pentru a mobiliza aerul în cursul procesului de ventilaţie este necesară o diferenţă de presiune de doar 1-2 cm H2O;
",,,,
TRUE,"   3. presiunea aerului scade în căile aeriene peste generaţia a 7-a;
",,,,
TRUE,"   4. volumul pulmonar are un efect important asupra rezistenţei căilor aeriene;
",,,,
,"   5. bronhiile care pătrund în parenchimul pulmonar sunt comprimate de ţesutul pulmonar din jur, iar calibrul lor este redus când plămânul este expansionat în cursul inspirului;
",,,,
,"   6. rezistenţa fiecărei căi aeriene este relativ mică dar sunt foarte multe căi aeriene dispuse în paralel, cu rezistenţă combinată mare;
",,,,
,"   7. în mod normal rezistenţa la trecerea aerului este foarte mică, astfel încât pentru a mobiliza aerul în cursul procesului de ventilaţie este necesară o diferenţă de presiune de doar 3-4 cm H2O;
",,,,
TRUE,"   8. rezistenţa fiecărei căi aeriene este relativ mare dar sunt foarte multe căi aeriene dispuse în paralel, cu rezistenţă combinată mică;
",,,,
TRUE,"   9. bronhiile care pătrund în parenchimul pulmonar sunt comprimate de ţesutul pulmonar din jur, iar calibrul lor este crescut când plămânul este expansionat în cursul inspirului;
",,,,
,"   10. volumul pulmonar are un efect relativ redus asupra rezistenţei căilor aeriene;
",,,,
,,,,,
,"17. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. în sistemul de tuburi de la nivelul arborelui bronşic, cu puține ramificaţii şi modificări ale calibrului căilor aeriene, curgerea laminară are loc numai prin căile aeriene foarte mici;
",,,,
,"   2. la nivelul bronhiolei supralobulare se produce murmurul vezicular care se percepe numai dacă atât alveolele pulmonare cât şi bronhiolele sunt permeabile;
",,,,
,"   3. în mod normal rezistenţa la trecerea aerului este foarte mică, astfel încât pentru a mobiliza aerul în cursul procesului de ventilaţie este necesară o diferenţă de presiune de doar 1-2 cm H2O;
",,,,
,"   4. în sistemul de tuburi de la nivelul arborelui bronşic, cu multe ramificaţii şi modificări ale calibrului căilor aeriene, curgerea laminară are loc numai prin căile aeriene foarte mici;
",,,,
TRUE,"   5. la nivelul bronhiolei supralobulare se produce murmurul vezicular care se percepe numai dacă atât alveolele pulmonare cât şi bronhiolele nu sunt permeabile;
",,,,
TRUE,"   6. zgomotul laringo-treaheal se percepe posterior în dreptul sternului (în apropierea traheei) şi anterior în spaţiul interscapular;
",,,,
,"   7. zgomotul laringo-treaheal se percepe anterior în dreptul sternului (în apropierea traheei) şi posterior în spaţiul interscapular;
",,,,
TRUE,"   8. în mod normal rezistenţa la trecerea aerului este foarte mică, astfel încât pentru a mobiliza aerul în cursul procesului de ventilaţie este necesară o diferenţă de presiune de doar 3-4 cm H2O;
",,,,
TRUE,"   9. la trecerea sa prin căile respiratorii, aerul este încălzit şi umezit acesta fiind parțial saturat cu vapori de apă înainte de a ajunge la alveole;
",,,,
,"   10. la trecerea sa prin căile respiratorii, aerul este încălzit şi umezit acesta fiind complet saturat cu vapori de apă înainte de a ajunge la alveole;
",,,,
,,,,,
,"18. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. rolul homeostatic secundar al aparatului respirator este de a menţine în limite constante pH-ul şi nivelurile de oxigen şi bioxid de carbon în sângele arterial sistemic care apoi este distribuit la ţesuturi prin intermediul circulaţiei;
",,,,
TRUE,"   2. zgomotul laringo-treaheal se percepe posterior în dreptul sternului (în apropierea traheei) şi anterior în spaţiul interscapular;
",,,,
TRUE,"   3. când toate capilarele peri-alveolare sunt deschise, mai mult de 80% din aria alveolară este practic indisponibilă pentru schimb de gaze;
",,,,
TRUE,"   4. căile respiratorii au funcţia de conducere, la care se adaugă funcţiile de filtrare, încălzire şi umidifiere a aerului expirat;
",,,,
TRUE,"   5. prezenţa mucusului şi cililor doar la nivelul bronhiilor conferă protecţie plămânilor faţă de agresiunile externe;
",,,,
,"   6. durata şi intensitatea zgomotului laringo-treaheal sunt mai mari în expir;
",,,,
,"   7. plămânul are şi o irigaţie sanguină de provenienţă sistemică (arterele bronşice, care iau naştere din aortă), care se distribuie la nivelul arborelui bronşic;
",,,,
,"   8. omul şi alte animale superioare preiau oxigen din aer şi eliberează bioxid de carbon în vederea satisfacerii nevoilor metabolice ale ţesuturilor, fenomen care se numeşte schimb de gaze şi care reprezintă esența fiziologiei respiratorii;
",,,,
,"   9. alveolele prezintă un perete epitelial foarte subţire acoperit cu un strat fin de lichid alveolar denumit surfactant pulmonar;
",,,,
,"   10. filtrarea aerului inspirat constă în captarea şi înlăturarea particulelor inhalate
",,,,
,,,,,
,"19. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. rolul homeostatic secundar al aparatului respirator este de a menţine în limite constante pH-ul şi nivelurile de oxigen şi bioxid de carbon în sângele venos și arterial sistemic care apoi este distribuit la ţesuturi prin intermediul circulaţiei;
",,,,
,"   2. următoarele procese sunt implicate în schimbul gazos: ventilația alveolară, difuzia gazelor respiratorii, transportul gazelor respiratorii, transferul de gaze respiratorii, respirația celulară;
",,,,
,"   3. tonalitatea zgomotului laringo-treaheal este mai ridicată în inspir;
",,,,
