,"3. Prezintă pe linia mediană un șanț neregulat numit șanțul etmoidal
"
TRUE,"4. Prin scobitura frontală trece nervul supratrohlear
"
TRUE,"5. Marginii anterioare i se descrie cîte o arcadă sprîncenară (orbitară), curbă
"
TRUE,"6. La 1 cm intern față de gaura supraorbitară se găsește un șanț mai puțin accentuat numit scobitura frontală
"
TRUE,"7. Arcadele sprîncenare prezintă la unirea 1/3 mediale cu 2/3 laterale cîte un șanț, adesea transformat într-o gaură numit șanțul supraorbitar
"
,"8. Marginea anterioară sau orbito-temporală
"
,"9. Prin șanțul (gaura) supraorbitar trece pachetul vasculo-nervos frontal intern
"
,"10. Prin scobitura frontală trece nervul frontal extern
"
,
,"5. Care dintre următoarele elemente anatomice descriptive referitoare la osul parietal sunt adevărate:
"
,"1. Fața internă prezintă un sistem de șanțuri ramificate care sugerează nervurile unei frunze de smochin, care încep în unghiul postero-inferior al osului îndreptîndu-se apoi în sus și în
"
,"afară, determinate de raportul cu artera și vena meningee mijlocie
"
TRUE,"2. Fața externă sau exocraniană este convexă și netedăși prezintă o proeminență numită bosa parietală
"
TRUE,"3. Pe linia curbă temporală superioară se inseră aponevroza temporală
"
,"4. Deasupra bosei parietale se găsesc liniile curbe temporale ale parietalului
"
,"5. Porțiunea de os situată deasupra liniilor curbe vine în raport cu mușchiul fronto-occipital
"
TRUE,"6. Pe linia curbă temporală inferioară a parietalului se inseră mușchiul temporal
"
TRUE,"7. Fața internă sau endocraniană este concavă și prezintă o depresiune centrală numită fosa parietală
"
TRUE,"8. La întîlnirea liniei curbe temporale superioare a parietalului cu marginea anterioară se găsește punctul craniometric stephanion
"
FALSE,"9. Fața internă prezintă impresiuni mamilare și eminențe digitale datorită raportului cu emisferele cerebrale
"
,"10. Marginea anterioară este fin dantelatăși se articulează cu frontalul formînd sutura scuamoasă frontoparietală
"
,
,"6. Care dintre următoarele elemente anatomice sunt caracteristice lamei verticale a etmoidului?
"
TRUE,"1. Este împărțită de lama orizontală în două porțiuni inegale una superioară mai mică și o porțiune inferioară mai mare
"
TRUE,"2. Porțiunea superioară a lamei verticale are formă triunghiulară și se numește apofiza crista galli
"
,"3. Crista Galli e subțire și puțin rezistentă
"
FALSE,"4. Porțiunea inferioară a cristei galli formează peretele despărțitor al cavității bucale și se mai numește și lama perpendiculară a etmoidului
"
TRUE,"5. Pe marginea posterioară a crista galli se inseră coasa creierului
"
TRUE,"6. Lama verticală este patrulateră, turtită și subțire
"
,"7. Marginea superioară a lamei perpendiculare a etmoidului se articulează cu vomerul
"
,"8. Crista Galli susține peretele superior al sinusurilor frontale
"
TRUE,"9. Baza crista galli stă pe lama ciuruită
"
,"10. Marginea anterioară a crista galli completează orificiul orbitar intern anterior
"
,
,"7. Care dintre următoarele elemente anatomice descriptive sunt caracteristice lamei orizontale a etmoidului:
"
,"1. Lama orizontală prezintă cîteva orificii care îi dau aspectul ciuruit
"
,"2. Găurile lamei ciuruite sunt dispuse pe patru șiruri: extern cu găuri mai mari,mijlociu extern cu găuri mai mici, mijlociu intern cu găuri mici,intern cu găuri și mai mici
"
TRUE,"3. Este împărțită de crista galli în două jumătăți dreaptă și stîngă
"
TRUE,"4. Formează o parte din plafonul foselor nazale
"
,"5. Prin gaura etmoidală anterioară trec nervul frontal intern și artera etmoidală anterioară
"
,"6. În pătrimea posterioară a jgheaburilor olfactive se găsește bandeleta optică
"
,"7. Prin orificiile lamei orizontale trec ramurile nervului oftalmic al lui Willis
"
TRUE,"8. Are o formă patrulateră cu diametrul antero-posterior mai mare ca cel transversal
"
TRUE,"9. Vine în raport superior cu fața inferioară a emisferelor cerebrale (gyrus rectus) și cu bulbii olfactivi
"
TRUE,"10. Stă în șantul etmoidal al frontalului
"
,
,"8. Care dintre următoarele elemente anatomice sunt caracteristice maselor laterale ale etmoidului:
"
,"1. Fața externă contribuie la formarea șanțului nazo-lacrimal *
"
TRUE,"2. Fața externă este plană, netedă,friabilă și se mai numește os planum
"
TRUE,"3. Fața superioară prezintă semicelule care pe craniul articulat sunt completate de semicelulele de pe fața inferioară a frontalului
"
TRUE,"4. Fața superioară prezintă două șanțuri cu direcție transversală care împreună cu șanțurile de pe fața inferioară a frontalului vor delimita canalele nazale anterior și posterior *
"
,"5. Fața inferioară prezintă următoarele elemente din afară înăuntru:extremitate inferioară cornet mijlociu,meat mijlociu,o suprafață rugoasă de articulare cu maxila și apofiza unciformă
"
TRUE,"6. Sunt suspendate în partea laterală a feței inferioare a lamei ciuruite, între fosele nasaleînăuntru și orbite care sunt situate în afară
"
,"7. Fața anterioară se articulează cu oasele nazale
"
TRUE,"8. De pe fața internă sedesprind două lame osoase răsucite: cornetul nazal superior și cornetul nazal mijlociu
"
,"9. Fața internă ia parte la formarea peretelui lateral al sinusului frontal
"
,"10. Fața posterioară prezintă cavități aerice care se articulează cu stînca temporalului
"
,
,"9. Care sunt elementele anatomice caracteristice feței superioare a corpului sfenoidului?
"
,"1. Prezintă șanțul sinusului cavernos
"
,"2. Prezintă schindileza sfenobazilară
"
TRUE,"3. Prezintă o lamă patrulateră
"
TRUE,"4. Prezintă proeminența sau tuberculul pituitar
"
TRUE,"5. Prezintă o suprafață patrulateră numită jugum sfenoidale
"
TRUE,"6. Prezintă șanțul chiasmatic
"
TRUE,"7. Prezintă o depresiune numită fosa pituitară (sella turcica)
"
,"8. Prezintă o creastă sfenoidală
"
,"9. Prezintă lama cribrosa
"
,"10. Prezintă procesele clinoide anterioare
"
,
,"10. Care sunt elementele anatomice caracteristice aripilor mici ale sfenoidului?
"
,
TRUE,1. se desprind din partea antero-superioara a corpului
FALSE,"2. În baza lor se află canalul chiasmatic
"
,"3. Au o formă patrulateră cu axul mare transversal
"
,"4. Se desprind din partea postero-superioară a corpului
"
TRUE,"5. Fața lor inferioară formează fanta sfenoidală
"
TRUE,"6. Fața lor inferioară formează partea posterioară a plafonului orbitei
"
,"7. În baza lor se află apofizele clinoide posterioare
"
TRUE,"8. Au o formă triunghiulară cu baza înăuntru
"
TRUE,"9. Fața lor superioară vine în raport cu lobul frontal al emisferelor cerebrale
"
,"10. Cu baza lor delimitează șanțul sinusului cavernos
"
,
,"11. Care sunt elementele anatomice caracteristice aripilor mari ale sfenoidului:
"
FALSE,"1. Marginile internă și externă ale marilor aripi se unesc posterior unde formează un proces descendent numit spina lui Civinini
"
TRUE,"2. Fața postero-superioară prezintă eminențe mamilare și impresiuni digitale datorită raportului cu girusurile anterioare ale lobului temporal
"
TRUE,"3. Fața externă este convexă vertical și prezintă o creastă cu direcție antero-posterioară numită creasta sfeno-temporală
"
TRUE,"4. Sunt două procese osoase care se desprind de pe fețele laterale ale corpului
"
TRUE,"5. Marginea anterioară este verticală și se articulează cu osul zigomatic
"
,"6. Marginea internă prezintă un mic orificiu rotund situat la 2-3 mm în spatele găurii ovale, numit foramen spinosum prin care trece nervul mandibular
"
,"7. Marginea internă prezintă un orificiu rotund (foramen rotundum) prin care trece nervul oftalmic al lui Willis
"
,"8. Pe porțiunea de os situată sub creasta sfenotemporală se inseră mușchiul temporal
"
TRUE,"9. Fața anterioară este patrulateră și formează partea posterioară a peretelui lateral al orbitei
"
,"10. Marginea internă prezintă un orificiu ovalar situat la 1 cm îndărătul și în afara găurii rotunde, numit gaura ovală prin care trece nervul maxilar
"
,
,"12. Care sunt elementele anatomice caracteristice apofizelor pterigoide:
"
,"1. Aripa medială prezintă pe marginea posterioară în porțiunea mijlocie un proces numit spina lui Civinini
"
,"2. Pe fața laterală a aripii laterale se inseră mușchiul temporal
"
TRUE,"3. Rădăcinile celor două aripi se unesc la puțin spațiu dedesuptul originii lor și circumscriu un canalantero-posterior numit canalul vidian
"
TRUE,"4. Aripa medială este patrulateră și mai mică decît cea laterală
"
,"5. În foseta pterigoidă se inseră mușchiul pterigoidian lateral
"
,"6. În foseta scafoidă se inseră mușchiul pterigoidian medial
"
TRUE,"7. Sunt două colonete osoase verticale care se desprind de pe fața inferioară a corpului sfenoidului de la nivelul joncțiunii cu aripile mari
"
,"8. Aripa laterală prezintă în partea inferioară o proeminență osoasă numită hamulus
"
TRUE,"9. Procesul vaginal al pterigoidei mediale delimitează împreună cu fața inferioară a corpului sfenoidului și cu procesul orbitar al palatinului canalul pterigo-palatin (palato-vaginal)
"
TRUE,"10. Sunt constituite dintr-o bază, două aripi sau lame (medială și laterală) și o fosă delimitată între cele două aripi- fosa pterigoidă
"
,
,"13. Care dintre următoarele elemente anatomice aparțin feței antero-superioare a stîncii temporalului:
"
,"1. Prin hiatusul accesoriu trece marele nerv pietros superficial ram din nervul facial
"
,"2. În 1/3 mijlocie foseta gaseriană este separată printr-o creastă numită eminența arcuată de o altă suprafață osoasă situată lateral
"
TRUE,"3. Această față se mai numește și față cerebrală
"
TRUE,"4. Între eminența arcuată ( medial) și solzul temporalului (lateral) se găsește o lamelă osoasă subțire numită tegmen timpani
"
,"5. Tegmen timpani formează acoperișul urechii interne
"
TRUE,"6. Prezintă în partea internă o depresiune ovalară cu axul mare orientat transversal numită foseta gaseriană
"
,"7. Între eminența arcuată și tegmen timpani se află foseta ungveală
"
,"8. Eminența arcuată este determinată de canalul semicircular mijlociu al urechii interne
"
TRUE,"9. Prin hiatusul lui Fallope trece marele nerv pietros superficial ram din nervul facial
"
,"10. Prin hiatusul lui Fallope trece nervul timpanic al lui Jacobson
"
,
,"14. Care dintre următoarele elemente anatomice aparțin feței postero-superioare a stîncii temporalului:
"
,"1. Prin orificiul auditiv intern trece artera mastoidiană
"
TRUE,"2. Deasupra sinusului venos lateral porțiunea verticală se găsește sinusul venos pietros superior *
"
,"3. Prin orificiul auditiv intern trece nervul glosofaringian
"
TRUE,"4. Această față se mai numește și față cerebeloasă
"
,"5. Prin foseta subarcuată trece un canal endolimfatic
"
,"6. Prezintă în partea sa internă un șanț prin care trece sinusul venos pietros profund
"
TRUE,"7. În 1/3 laterală a acestei fețe se găsește un șanț larg care se îndreaptă către gaura ruptă posterioară în care stă porțiunea verticală a sinusului venos lateral
"
TRUE,"8. La unirea 1/3 internă cu 1/3mijlocie se găsește orificiul auditiv intern
"
,"9. Orificiul auditiv intern este delimitat inferior de o crestă osoasă
"
TRUE,"10. La 5-6 mm supero-lateral de orificiul auditiv intern se găsește o depresiune neregulată numită foseta subarcuată
"
,
,"15. Care dintre următoarele elemente anatomice aparțin feței postero-inferioare a stîncii temporalului:
"
,"1. Antero-lateral față de orificiul stilomastoidian se găsește un orificiu prin care trece nervul lui Jacobson
"
,"2. Pe procesul stiloidian se inseră mușchiul pterigoidian lateral
"
TRUE,"3. Zona internă prezintă un orificiu mare, rotund numit orificiul inferior al canalului carotidian
"
,"4. Pe procesul stiloidian se inseră mușchiul maseter
"
TRUE,"5. Zona mijlocie a acestei fețe prezintă o depresiune variabilă ca dimensiuniși conformație numită fosa jugulară
"
TRUE,"6. Antero-medial față de procesul mastoidian se găsește procesul stiloidian
"
,"7. Prin orificiul stilomastoidian iese din craniu nervul intermediar al lui Wriesberg
"
TRUE,"8. Zona externă prezintă în partea postero-laterală vîrful apofizei mastoide
"
TRUE,"9. Între mastoidă și procesul stiloidian se găsește un orificiu rotunjit numit orificiul stilomastoidian
"
,"10. Pe fața externă a mastoidei se inseră mușchiul burta posterioară a digastricului
"
,
,"16. Care dintre următoarele elemente anatomice aparțin solzului temporalului:
"
,"1. Pe baza mastoidei se inseră mușchiul temporal
"
,"2. Posterior de rădăcina transversă a apofizei zigomatice se găsește cavitatea glenoidă a temporalului
"
,"3. Anterior de conductul auditiv extern se află spina suprameatică a lui Henle
"
TRUE,"4. Porțiunea retromeatică a solzului se află postero-superior de conductul auditiv externși în partea superioară prezintă o creastă care continuă posterior linea temporalis
"
TRUE,"5. Fața inferioară (exocraniană) prezintă în partea anterioară o suprafață triunghiulară cu vîrful situat anterior numit planum subtemporale
"
TRUE,"6. Cavitatea glenoidă este străbătută de fisura petro-timpanică *
"
TRUE,"7. Posterior de planum subtemporale se găsește o proeminență osoasă cilindrică numită condilul temporalului ( rădăcina transversă a procesului zigomatic) *
"
TRUE,"8. Prin fisura petro-timpanică trece nervul coarda timpanului *
"
,"9. Solzul temporalului formează peretele intern al conductului auditiv extern
"
,"10. Pe porțiunea solzului numită planum subtemporale se inseră mușchiul pterigoidian lateral
"
,
,"17. Care dintre următoarele elemente anatomice descriptive osului occipital sunt adevărate?
"
,"1. Prin găurile supracondiliene posterioare trece nervul spinal
"
TRUE,"2. Pe cresta occipitală internă se inseră coasa cerebelului
"
FALSE,"3. Pe creasta occipitală externă se inseră ligamentul longitudinal cervical posterior
"
TRUE,"4. Suprafața bazilară a occipitalului are o formă patrulateră și prezintă pe fața exocraniană, la 1 cm anterior de gaura occipitală o proeminență osoasă- tuberculul faringian
"
TRUE,"5. Fața exocraniană a solzului occipital prezintă o proeminență rugoasă în centrul său numită protuberanșa occipitală externă
"
TRUE,"6. Prin găurile supracondiliene anterioare trece nervul hipoglos
"
,"7. Pe linia occipitală curbă inferioară se inseră mușchii marele și micul drept lateral al capului
"
TRUE,"8. Porțiunea de os situată anterior găurii occipitale reprezintă suprafața bazilară a occipitalului
"
,"9. Pe linia curbă occipitală superioară ( linia nucală superioară) se inseră fascicolele posterioare ale mușchiului temporal
"
,"10. Porțiunea bazilară a occipitalului prezintă pe fața endocraniană pe linia mediană șanțul bazilar prin care trece sinusul venos longitudinal inferior
"
,
!,"18. Care dintre următoarele elemente anatomice sunt caracteristice osului maxilar?
"
TRUE,"1. Partea anterioară a feței externe a maxilei prezintă în partea superioară gaura suborbitarăprin care trece pachetul vasculo-nervos suborbitar ( nervul suborbitar este ram terminal al
"
,"nervului maxilar)
"
,"2. Partea posterioară sau zigomatică a feței externe, ușor convexă,numită și tuberozitatea posterioară a maxilei face parte din fosa temporală
"
TRUE,"3. Creasta turbinală inferioară este situată la nivelul extremității inferioare a șanțului lacrimal și se articulează cu cornetul nazal inferior
"
,"4. În partea posterioară a feței externe a maxilei, pe linia mediană se află spina nazală posterioară
"
TRUE,"5. Prin canalul palatin incisiv trec nervul palatin intern al lui Hirschfeld ( ram din nervul sfenopalatin din nervul maxilar) și ram intern al arterei sfenopalatine
"
TRUE,"6. Hiatusul (orificiul) sinusului maxilar care este situat pe fața internă a maxilei deasupra procesului palatin, se deschide în sinusul nasal mijlociu
"
,"7. Marginea posterioară a feței externe a maxilei delimitează choanele nazale
"
TRUE,"8. Apofiza palatină se desprinde de pe fața internă a osului maxilar la unirea a ¾ superioare cu ¼ inferioare
"
,"9. Canalul nazo-lacrimal delimitat pe fața internă a maxilei se deschide în meatul nazal mijlociu
"
,"10. Partea superioară a feței externe a maxilei prezintă un șanț suborbitar pe unde trece nervul mandibular
"
,
,"19. Care dintre următoarele elemente anatomice sunt caracteristice mandibulei?
"
,"1. Prezintă la extremitatea superioară a ramurii verticale a mandibulei o proeminență alungită ( condilul mandibulei care are axul sagital la fel ca și ramura mandibulei
"
,"2. Pe fața laterală a mandibulei se găsește foseta pterigoidiană
"
FALSE,"3. Prezintă pe fața posterioară a corpului pe linia mo fosetă ovalară numită foseta digastrică
"
TRUE,"4. De pe linia mediană a feței anterioare pleacă o linie oblică în sus numită linia oblică externă care se continuă cu buza laterală a marginii anterioare a corpului mandibulei
"
,"5. Pe fața medială a ramurii mandibulei se află o depresiune situată subjacent orificiului superior al canalului dentar inferior pe care se inseră mușchiul pterigoidian lateral
"
,"6. Prezintă pe fața posterioară a corpului deasupra liniei milohioidiene o fosetă submaxilară
"
TRUE,"7. Prezintă pe fața posterioară a corpului o spină formată din patru tuberculi mici – tuberculii genieni
"
TRUE,"8. Fața anterioară a corpului mandibulei este convexă și prezintă pe linia mediană o creastă – simfiza mentonieră
"
TRUE,"9. Prezintă pe fața posterioară a corpului deasupra liniei milohioidiene o fosetă sublinguală
"
TRUE,"10. Prezintă pe fața posterioară a corpului două linii oblice interne ( liniile milohioidiene)
"
,
,"20. Care dintre următoarele elemente anatomice sunt caracteristice articulației temporomandibulare ?
"
TRUE,"1. ATM prezintă un disc articular care este o placă ovală de țesut fibros și are forma unei lentile biconcave
"
TRUE,"2. Suprafețele articulare sunt procesul condilian al mandibulei acoperit de fibrocartilaj și cavitatea glenoidă a temporalului
"
,"3. Mușchiul pterigoidian lateral este retropulsor al mandibulei
"
TRUE,"4. Capsula articulară este laxă, prezintă o inserție superioară și una inferioară și este întărită de două feluri de ligamente: adevărate și accesorii ( ligamente la distanță)
"
,"5. Mușchiul digastric prin burta anterioară este propulsor al mandibulei
"
TRUE,"6. Segmentul preglasserian al cavității glenoide a temporalului este intraarticular
"
,"7. Ligamentele accesorii (la distanță) au un rol important și toate se găsesc pe fața externă a articulației
"
,"8. Mușchiul pterigoidian lateral este ridicător al mandibulei
"
TRUE,"9. Osul timpanal care este situat dedesuptul solzului și înaintea stîncii prin fața sa anterioară care e liberă și concavă contribue la mărirea înapoi a cavității glenoide a temporalului
"
,"10. Dintre ligamentele adevărate face parte ligamentul anterior extern care e cel mai puternic ligament al articulației
"
,
,"21. Despre articulația temporo-mandibulară putem afirma că:
"
TRUE,"1. Este o diartroză bicondiliană
"
TRUE,"2. Planum subtemporal este situat anterior față de condilul temporal
"
,"3. Din cavitatea glenoidă participă la articulație segmentul posterior și scizura lui Glasser
"
TRUE,"4. Suprafața anticulară mandibulară este reprezentată de condilul mandibulei
"
TRUE,"5. Segmentele articulare ale condilului mandibular sunt reprezentate de versantul anterior și de creasta care separă cei doi versanți
"
,"6. Segmentul anterior al cavității glenoide este segmentul timpanic
"
,"7. Mușchiul milo-hioidian este un retractor al mandibulei
"
,"8. Meniscul articulației are formă de lentilă biconvexă
"
TRUE,"9. Este singura articulația mobilă a craniului
"
,"10. Apofiza zigomatică are o rădăcină longitudinală care se articulează cu mandibula
"
,
,"22. Despre articulația temporo-mandibulară se poate afirma că:
"
TRUE,"1. Ligamentul stilo-mandibular are inserția inferioară pe partea inferioară a marginii posterioare a ramurii mandibulei, în apropiere de gonion
"
TRUE,"2. Se inseră superior pe tuberculul temporal ?
"
,"3. Ligamentele la distanță sunt situate toate trei pe fața externă a articulației temporo-mandibulare
"
TRUE,"4. Ligamentul sfeno-mandibular închide cu mandibula un spațiu numit butoniera retrocondiliană a lui Juvara
"
TRUE,"5. Ligamentul sfeno-mandibular are inserția superioară pe spina sfenoidului
"
,"6. Ligamentul stilo-mandibular se mai numește și aponevroză buccinato-faringiană
"
TRUE,"7. Ligamentul lateral intern se inseră inferior pe partea posterioară și internă a colului (condilului) mandibular ?
"
,"8. Burta posterioară a digastricului este o coborâtoare a mandibulei
"
,"9. Pe ligamentul pterigo-mandibular se inseră înapoi fascicule din mușchiul buccinator
"
,"10. Pe ligamentul pterigo-mandibular se prind înainte fascicule din constrictorul superior al faringelui
"
,
,"23. Despre articulația temporo-mandibulară se poate afirma că:
"
TRUE,"1. Apofiza zigomatică a osului temporal are o rădăcină transversală (condilul temporalului) care participă la articulația temporo-mandibulară
"
TRUE,"2. Versantul anterior al condilului mandibular este acoperit de un strat de fibrocartilagiu
"
TRUE,"3. Meniscul articulației împarte articulația în două etaje: unul superior (temporo-meniscal) și unul inferior (menisco-mandibular)
"
TRUE,"4. Meniscul articulației temporo-mandibulare are formă de lentilă biconcavă
"
,"5. Fața inferioară a meniscului articular este convexă
"
TRUE,"6. Mușchiul pterigoidian extern este un diductor al mandibulei atunci când se contractă alternativ
"
FALSE,"7. Cel mai puternic ligament al articulației temporo-mandibulare este ligamentul lateral intern
"
,"8. Capsula articulației temporo-mandibulare se inseră inferior pe spina sfenoidului
"
,"9. Fibrele scurte ale capsulei articulare se inseră superior pe condilul temporal și inferior pe gonion
"
,"10. Fasciculele anterioare ale mușchiului temporal sunt propulsoare ale mandibulei
"
,
,"24. Despre articulația temporo-mandibulară se poate afirma că:
"
TRUE,"1. În primul timp al mișcării de coborâre a mandibulei, condilul temporal coboară separat de menisc care rămâne fixat
"
TRUE,"2. Cel mai puternic ligament al articulației temporo-mandobulare este ligamentul lateral extern
"
,"3. Capsula articulației temporo-mandibulare se inseră inferior pe apofiza coronoidă a mandibulei
"
TRUE,"4. Capsula articulară se inseră superior în fundul cavității glenoide
"
,"5. Ligamentul sfeno-mandibular se termină pe linia milo-hioidiană a mandibulei
"
TRUE,"6. Fața superioară a meniscului articular este concavă anterior și convexă posterior
"
TRUE,"7. Mușchiul pterigoidian intern este un ridicător al mandibulei
"
,"8. Frâul meniscal posterior se termină pe fața posterioară a capsulei articulației
"
,"9. Mușchiul pterigoidian extern este un coborâtor al mandibulei
"
,"10. Capsula articulației se inseră superior pe apofiza stiloidă
"
,
,"25. Despre structurile de rezistență ale craniului se poate afirma:
"
,"1. Arcul sutural anterior trece prin sutura lambdoidă
"
TRUE,"2. Arcul mediosagital trece prin creasta occipitală
"
,"3. Arcurile laterosagitale trec prin linia temporală superioară a parietalului
"
TRUE,"4. Arcurile de rezistență pot fi sagitale, transversale și suturale
"
,"5. Arcurile laterosagitale se îndreaptă postero-anterior prin rădăcina transversală a zigomei
"
,"6. Arcul transversal anterior trece prin liniile nucale superioare
"
TRUE,"7. Arcul mediosagital începe la nivelul stălpului frontal
"
TRUE,"8. Arcul mediosagital se termină la nivelul stâlpului occipital
"
TRUE,"9. Arcurile sagitale sunt în număr de trei
"
,"10. Arcurile laterosagitale încep la nivelul stâlpului frontal
"
,
,"26. Despre structurile de rezistență ale craniului se poate afirma:
"
TRUE,"1. Căpriorul etmoido-frontal trece prin crista galli a etmoidului
"
,"2. Căpriorul principal sfeno-frontal merge de-a lungul marginii posterioare a micii aripi a sfenoidului
"
TRUE,"3. Căpriorul etmoido-frontal este dispus sagital
"
,"4. Căpriorul temporal este nepereche fiind situat pe linia mediană
"
,"5. Căpriorul accesor sfeno-temporal merge de-a lungul marginii anterioare a micii aripi a sfenoidului
"
,"6. Căpriorul temporal merge de la stâlpul zigomatic la corpul sfenoidului
"
TRUE,"7. Căpriorul sfeno-frontal este pereche
"
,"8. Căpriorul occipital corespunde axului stâncii temporalului
"
TRUE,"9. Arcul sutural anterior corespunde suturii coronare
"
TRUE,"10. Căpriorul etmoido-frontal este nepereche
"
,
,"27. Despre structurile de rezistență ale craniului se poate afirma:
"
,"1. Nodul de rezistență zigomatic este nepereche
"
,"2. Căpriorii de rezistență sunt situați la nivelul bolții craniului
"
TRUE,"3. Structurile funcționale de rezistență sunt reprezentate de arcuri la nivelul bolții
"
TRUE,"4. Stâlpii sau pilierii sunt situați la întâlnirea între arcuri și căpriori
"
,"5. Căpriorul occipital pleacă prin două brațe de la nivelul găurii occipitale
"
TRUE,"6. Căpriorul temporal de întinde de la stâlpul mastoidian la corpul sfenoidului
"
TRUE,"7. La baza craniului poate fi descris un căprior sub forma literei X ale cărui brațe se intersectează la nivelul corpului sfenoidului ?
"
TRUE,"8. Căpriorul temporal dintr-o parte este situat , cu aproximație în prelungirea căpriorului sfeno-frontal de partea opusă
"
FALSE,"9. Căpriorul occipital se trifurcă la nivelul corpului sfenoidului
"
,"10. Nodul de rezistență frontal este pereche
"
,
,"28. Despre neurocraniu se poate afirma:
"
,"1. Este împărțit în 2 porțiuni numite fălci
"
TRUE,"2. Este dispus în partea postero-superioară a capului
"
,"3. Este alcătuit din 14 piese osoase
"
,"4. Este dispus în partea antero-inferioara a capului
"
TRUE,"5. Este alcătuit din 4 oase nepereche
"
,"6. Este alcătuit din piese osoase ce înconjoară organele vizuale, cavitățile nazale și bucale
"
TRUE,"7. Osul sfenoid intră în componența neurocraniului
"
,"8. Este alcătuit din 2 oase nepereche
"
TRUE,"9. Are forma unei cutii osoase ce conține encefalul
"
TRUE,"10. Este alcătuit din 2 oase pereche ( temporal și parietal)
"
,
,"29. Despre osul frontal se poate afirma:
"
,"1. Participă la formarea fosei infratemporale
"
TRUE,"2. Participă la formarea orbitei și a foselor nazale
"
TRUE,"3. Este denumit și os coronal
"
,"4. Se articulează inferior cu oasele parietale
"
TRUE,"5. Prezintă 3 fețe ( anterioara, posterioară,inferioară)
"
,"6. Este un os pereche
"
TRUE,"7. Este un os median, nepereche și simetric
"
,"8. Prezintă 2 margini( anterioară, superioară)
"
,"9. Se articulează superior cu etmoidul
"
TRUE,"10. Prezintă 3 margini (anterioară, posterioară și superioară)
"
,
,"30. Despre fața anterioară a osului frontal se poate afirma:
"
TRUE,"1. Pe linia mediană, imediat deasupra rădăcinii nasului se găsește bosa frontală mijlocie
"
